# buildings_simplified.csv -- one row per building, frame: SUMO local (m)
# name, cx, cy, sx, sy, sz, yaw_deg
bld_B354691876001063C0,     674.68,     579.72,   14.48,    5.53,  27.44,   -14.92
bld_B354701876501063C0,     675.96,     584.24,   14.59,    3.88,  27.44,   -14.92
bld_B354701911101063C0,     684.81,     929.85,   21.32,    4.64,  26.87,     8.59
bld_B354711876901063C0,     677.09,     588.50,   14.65,    5.08,  27.39,   -15.11
bld_B354711910601063C0,     685.51,     925.21,   21.31,    4.79,  26.87,     8.71
bld_B354721877401063C0,     678.13,     592.81,   14.43,    3.86,  27.39,   -14.92
bld_B354731871401063C0,     680.67,     531.70,   15.43,    5.45,  26.72,   -14.59
bld_B354731908701063C0,     689.19,     906.93,   20.74,    4.90,  26.57,     8.75
bld_B354731909201063C0,     688.28,     911.63,   20.35,    5.11,  32.36,     8.81
bld_B354741878502063C0,     681.43,     603.71,   19.19,   13.66,   9.81,    75.08
bld_B354741908301063C0,     690.01,     902.66,   21.12,    4.56,  35.22,     8.74
bld_B354751872201063C0,     682.23,     539.35,   14.42,   10.35,  26.72,   -14.84
bld_B354751878501063C0,     680.84,     603.26,   18.02,    9.46,  61.01,    74.94
bld_B354751907101063C0,     689.31,     889.23,   12.34,   10.10,  77.50,   -81.32
bld_B354751907901063C0,     690.71,     898.09,   21.13,    4.70,  35.22,     8.73
bld_B354761909801063C0,     688.22,     915.60,   19.16,    5.50,  35.79,     8.73
bld_B354771861801063C0,     682.95,     434.92,   13.67,   10.82,  56.69,    74.63
bld_B354771861802063C0,     684.52,     434.48,   14.15,   13.66,   8.10,   -15.34
bld_B354771906101063C0,     693.49,     879.97,   20.73,    4.39,  35.28,     8.55
bld_B354771907002063C0,     691.69,     888.86,   20.47,   14.05,  19.84,     8.89
bld_B354791873701063C0,     687.36,     554.61,   15.49,    6.25,  25.58,   -14.55
bld_B354791874301063C0,     688.71,     560.15,   15.65,    5.24,  25.57,   -14.49
bld_B354791905601063C0,     694.22,     875.28,   20.75,    5.16,  35.28,     8.45
bld_B354801862601063C0,     686.01,     443.64,   16.12,    4.80,  27.51,   -15.34
bld_B354801874701063C0,     689.43,     565.43,   16.12,    6.28,  33.10,   -15.38
bld_B354821863101063C0,     686.77,     448.38,   15.15,    4.86,  27.51,   -14.93
bld_B354821875301063C0,     690.83,     570.71,   16.15,    4.82,  33.10,   -14.78
bld_B354821904701063C0,     695.64,     865.99,   20.80,    5.05,  27.38,     8.02
bld_B354821905201063C0,     694.93,     870.61,   20.74,    4.56,  27.38,     8.82
bld_B354831863501063C0,     687.59,     452.93,   14.40,    5.13,  32.35,   -14.81
bld_B354831875701063C0,     691.94,     574.81,   15.78,    4.75,  26.23,   -14.90
bld_B354831903401063C0,     695.43,     851.86,   23.49,   16.02,  85.77,   -80.79
bld_B354831903402063C0,     696.38,     851.97,   23.50,   21.72,  14.05,   -81.32
bld_B354841861501063C0,     689.15,     431.99,    2.79,    2.73,   9.26,   -15.33
bld_B354841863901063C0,     688.75,     457.50,   14.27,    5.51,  31.08,   -14.84
bld_B354841876101063C0,     693.08,     579.38,   15.86,    4.68,  26.23,   -14.90
bld_B354841896101063C0,     692.74,     781.23,   65.15,   27.81,  43.78,    72.62
